,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
153,Pennsylvania,State College,Centre,40.811389,-77.877028,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,344
154,Pennsylvania,State College,Centre,40.811389,-77.877028,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,344
155,Pennsylvania,,Chester,39.834461,-75.768242,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,327
156,Pennsylvania,,Chester,39.834461,-75.768242,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,327
157,Pennsylvania,,Chester,39.834461,-75.768242,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,297
158,Pennsylvania,,Chester,39.834461,-75.768242,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,297
159,Pennsylvania,Carlisle,Cumberland,40.246528,-77.18675,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,306
160,Pennsylvania,Carlisle,Cumberland,40.246528,-77.18675,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,306
161,Pennsylvania,Carlisle,Cumberland,40.246528,-77.18675,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,347
162,Pennsylvania,Carlisle,Cumberland,40.246528,-77.18675,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,347
163,Pennsylvania,,Dauphin,40.246992,-76.846988,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,242
164,Pennsylvania,,Dauphin,40.246992,-76.846988,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,242
165,Pennsylvania,,Dauphin,40.246992,-76.846988,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,215
166,Pennsylvania,,Dauphin,40.246992,-76.846988,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,215
167,Pennsylvania,Chester,Delaware,39.835556,-75.3725,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,56
168,Pennsylvania,Chester,Delaware,39.835556,-75.3725,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,56
169,Pennsylvania,Chester,Delaware,39.835556,-75.3725,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24-HR BLK AVG,336
