,State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
106,Pennsylvania,Philadelphia,Philadelphia,40.008889,-75.09778,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6164
107,Pennsylvania,Philadelphia,Philadelphia,40.076389,-75.011944,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5841
108,Pennsylvania,Philadelphia,Philadelphia,39.991389,-75.080833,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,1232
109,Pennsylvania,Philadelphia,Philadelphia,40.035985,-75.002405,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,4515
110,Pennsylvania,,Somerset,39.9878,-79.2515,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5466
111,Pennsylvania,,Tioga,41.644722,-76.939167,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5987
112,Pennsylvania,Charleroi,Washington,40.146667,-79.902222,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6120
113,Pennsylvania,Washington,Washington,40.170556,-80.261389,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6104
114,Pennsylvania,,Washington,40.445278,-80.420833,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6124
115,Pennsylvania,,Washington,40.268963,-80.243995,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6095
116,Pennsylvania,Municipality of Murrysville (corp for Murrysville),Westmoreland,40.428076,-79.692811,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6098
117,Pennsylvania,Greensburg,Westmoreland,40.304694,-79.505667,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6098
118,Pennsylvania,York,York,39.965278,-76.699444,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6166
119,Pennsylvania,,York,39.86097,-76.462055,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6054
120,Vermont,Bennington,Bennington,42.88759,-73.24984,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6113
121,Vermont,Underhill (Town of),Chittenden,44.52839,-72.86884,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5976
