State.Name,City.Name,County.Name,Latitude,Longitude,Parameter.Name,Units.of.Measure,Metric.Used,Sample.Duration,Observation.Count
New York,New York,Bronx,  40.816000000000003, -73.902000000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
New York,New York,Bronx,  40.816000000000003, -73.902000000000001,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,122
New York,New York,Bronx,  40.867899999999999, -73.878090000000000,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,8633
New York,New York,Bronx,  40.867899999999999, -73.878090000000000,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6181
New York,New York,Bronx,  40.867899999999999, -73.878090000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
New York,New York,Bronx,  40.867899999999999, -73.878090000000000,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,120
New York,Dunkirk,Chautauqua,  42.499630000000003, -79.318809999999999,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5820
New York,Dunkirk,Chautauqua,  42.499630000000003, -79.318809999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,77
New York,Dunkirk,Chautauqua,  42.499630000000003, -79.318809999999999,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,77
New York,Westfield,Chautauqua,  42.290709999999997, -79.589609999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,16
New York,Westfield,Chautauqua,  42.290709999999997, -79.589609999999993,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,16
New York,Millbrook,Dutchess,  41.785550000000001, -73.741360000000000,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,6045
New York,Amherst,Erie,  42.993279999999999, -78.771529999999998,Ozone,Parts per million,Daily maximum of 8-hour running average,8-HR RUN AVG BEGIN HOUR,5904
New York,Amherst,Erie,  42.993279999999999, -78.771529999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,68
New York,Amherst,Erie,  42.993279999999999, -78.771529999999998,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,68
New York,Buffalo,Erie,  42.876907000000003, -78.809526000000005,Nitrogen dioxide (NO2),Parts per billion,Observed values,1 HOUR,6389
New York,Buffalo,Erie,  42.876907000000003, -78.809526000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
New York,Buffalo,Erie,  42.876907000000003, -78.809526000000005,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),Daily Mean,24 HOUR,116
