CTUID,Pop Density,Average Household Age,Average Household Size,Average Household Total Income ,Average Number of Rooms,Average Shelter Monthly Cost,p Housing Suitability,Built On or After 2001,p Single-Detached Houses,pGoodCondition
5370143,49,41.4,2.8,119753,7.9,1727,0.962825279,0.107806691,0.955719557,0.92936803
5370144.01,84.8,41.5,3,182896,8.7,2064,0.985714286,0.122857143,0.967647059,0.957142857
5370144.02,57.2,41.6,2.9,132408,8,1592,0.975409836,0.090163934,0.946969697,0.959016393
5370200,169.9,49.6,2.6,198769,8.2,1639,0.979591837,0.076530612,0.762886598,0.93877551
5370201,584.2,44.7,2.6,119793,7.3,1513,0.977859779,0.295202952,0.667883212,0.963099631
5370202,2078.4,53.3,2.1,123916,6.1,1592,0.981001727,0.460344828,0.370689655,0.970689655
5370203,1325.4,47.3,2.3,130667,7.2,1750,0.982300885,0.221238938,0.763157895,0.973451327
5370204,2818.7,38.9,2.5,93493,6.1,1535,0.905797101,0.043373494,0.328502415,0.934782609
5370205.01,2005.4,43.6,2.4,111130,6.7,1433,0.966666667,0.1,0.505617978,0.97037037
5370205.02,4486.3,52.9,1.7,78059,4.5,1275,0.948717949,0.15239726,0.200680272,0.952136752
5370206,3281.6,48.2,1.9,78933,4.9,1413,0.952261307,0.057788945,0.190104167,0.922110553
5370207.01,1253.7,40,2.7,190813,7.5,1710,0.969135802,0.07628866,0.515463918,0.942386831
5370207.02,3639.7,37.9,3,119924,7.8,1461,0.98034398,0.004914005,0.700251889,0.963144963
5370207.03,2462.5,43.3,2.7,116068,7.8,1421,0.989473684,0.024475524,0.665492958,0.965034965
5370207.04,3383.8,49,2.2,83560,6.1,1404,0.969298246,0.131578947,0.253275109,0.951754386
5370208,1817.5,39.8,2.5,89353,6.7,1280,0.971659919,0.016194332,0.545816733,0.939516129
5370209,2027.6,43.1,2.5,99970,7.3,1333,0.984,0.016,0.951612903,0.936
5370210,2050.5,38.9,2.5,82264,6.3,1430,0.951871658,0.117647059,0.380434783,0.924731183
5370211,1725.3,38.9,2.4,87867,6,1500,0.948412698,0.067729084,0.418699187,0.956175299
5370212,3157.7,43.9,2.2,110934,6.4,1458,0.980519481,0.116883117,0.439189189,0.928571429
5370213,4763.9,51.3,1.8,95930,5,1752,0.965601966,0.171990172,0.20657277,0.933660934
5370214,2438.1,46.7,2.2,96123,6.1,1305,0.966804979,0.041493776,0.569037657,0.908713693
5370215,3751.5,44.1,2.1,103292,5.8,1484,0.951807229,0.024096386,0.395348837,0.907630522
5370216,1882.6,43.1,2.8,226649,8.9,2071,0.983050847,0.108474576,0.90443686,0.955932203
5370217.01,2352.4,49.4,2,74600,5.6,1264,0.961145194,0.026584867,0.206185567,0.91002045
5370217.02,1655,46.8,2.5,119035,7.6,1334,0.981684982,0.051094891,0.685920578,0.963369963
5370218,1598.4,41,2.6,107901,6.9,1470,0.979553903,0.146840149,0.530726257,0.960966543
5370219,1946,43,2.9,211208,8.9,1920,0.990506329,0.082278481,0.981191223,0.965189873
5370220,3422.6,50.4,2.2,104576,6.3,1485,0.964636542,0.058939096,0.44140625,0.931237721
5370221,2720.4,43.2,2.7,118443,7.8,1436,0.978902954,0.021097046,0.841880342,0.953586498
5370222.01,0,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
5370222.02,3005.4,44.5,2.4,97684,6.5,1387,0.977142857,0.16,0.47740113,0.945714286
5370222.03,4539.3,39.7,2.8,123876,6.9,1537,0.990536278,0.189274448,0.495207668,0.971608833
5370223.01,1636.9,42.2,2.6,107805,7.5,1381,0.984693878,0.010204082,0.77,0.934010152
5370223.02,1841.3,39.4,2.7,108359,6.9,1445,0.959537572,0.101449275,0.573099415,0.956521739
5370223.05,3210.3,37.2,3.2,138609,8,1707,0.959183673,0.025510204,0.751269036,0.959390863
5370223.06,2743.2,40.5,3,151092,8.4,1633,0.988505747,0.01532567,0.907692308,0.973180077
5370223.07,3673.5,42,2.6,127810,7.1,1455,0.979472141,0.055555556,0.551020408,0.956140351
5370223.09,3044.5,32.4,3.2,152225,7.2,2037,0.985130112,0.892193309,0.68164794,0.988826816
5370223.1,3660.6,34.1,2.9,125696,6.8,1774,0.990506329,0.487341772,0.617554859,0.996835443
5370223.12,1012.7,44.7,2.2,94580,5.2,1449,0.974930362,0.638772664,0.084958217,0.961002786
5370223.13,2480.3,40,2.8,167098,7.7,1792,0.981481481,0.37962963,0.503125,0.975308642
