CTUID,PopDensity,meanAge,meanHouseholdSize,meanIncome ,meanRooms,pSuitability,pDetached,pGoodCondition,pEmployment,pBuilt1991
5370000,544.9,41.6,2.5,97211,6.5,0.954899521,0.562682166,0.937377491,0.602,0.277079889
5370001.01,397.6,39.8,2.9,97255,7.3,0.960526316,0.616883117,0.953947368,0.589,0.309210526
5370001.02,4102.4,36.7,3,93625,7,0.946022727,0.551136364,0.962962963,0.653,0.443181818
5370001.04,3702.5,38.1,3.3,107691,7.5,0.923684211,0.696569921,0.971052632,0.614,0.472295515
5370001.05,3443.7,38.6,3.2,96577,7,0.925233645,0.671826625,0.975077882,0.589,0.725856698
5370001.06,3511,40.9,3.1,111352,7.9,0.959501558,0.763975155,0.965732087,0.625,0.180685358
5370001.07,4922.7,37.7,2.9,76802,6.7,0.948818898,0.335968379,0.937007874,0.56,0.101960784
5370001.08,4001.5,38,3.2,102526,7.3,0.934146341,0.751219512,0.982926829,0.639,0.63902439
5370001.09,2318,34.9,3.3,100300,6.9,0.910071942,0.633093525,0.982014388,0.627,0.76618705
5370002.01,3450.3,37.4,3.2,105794,7.3,0.944615385,0.730650155,0.982014388,0.643,0.542944785
5370002.03,3979,40.4,2.8,87838,7.3,0.957345972,0.506912442,0.90521327,0.572,0.066666667
5370002.04,4706.2,39.9,3,99583,7.3,0.949044586,0.652597403,0.949206349,0.597,0.149681529
5370002.05,3882.4,38.9,3.2,113754,7.5,0.954935622,0.74186551,0.978494624,0.641,0.675965665
5370002.06,1329.4,48,2.4,89364,6.6,0.967625899,0.466192171,0.989208633,0.498,0.510791367
5370003.01,4292.9,46.1,2.5,88203,6.4,0.918575064,0.410126582,0.951653944,0.538,0.28680203
5370003.02,4013.8,46.6,2.5,79572,6.4,0.965648855,0.273764259,0.950381679,0.538,0.041984733
5370003.03,4446.9,37.9,3,77645,7.2,0.944444444,0.590909091,0.920930233,0.524,0.111111111
5370003.04,3346.1,40.6,2.6,70454,6.4,0.942731278,0.491111111,0.925110132,0.531,0.094713656
5370004.01,3308.8,42.1,2.4,63154,6,0.925795053,0.510948905,0.890459364,0.482,0.035335689
5370004.02,4189,41.7,2.5,69512,6,0.923312883,0.385074627,0.926605505,0.536,0.113496933
5370005.01,3302.9,44.9,2.5,74464,6.3,0.948608137,0.596153846,0.918803419,0.534,0.126068376
5370005.02,4107.4,39.8,2.7,77333,6.8,0.936170213,0.54964539,0.914893617,0.546,0.04964539
5370005.03,4255.8,44.7,2.6,81607,6.7,0.964285714,0.595394737,0.951298701,0.501,0.262987013
